SampleID,class,3-Hydroxybutyrate,3-Hydroxyisobutyrate,4-Hydroxybenzoate,ADP,AMP,ATP,Acetate,Alanine,Aspartate,Benzoate,Betaine,Cadaverine,Carnitine,Cholate,Choline,Creatine,Dimethylamine,Formate,Fumarate,Glucose,Glutamate,Glutamine,Glutathione,Glycerol,Glycine,Histidine,IMP,Inosine,Isoleucine,Lactate,Leucine,Lysine,Malate,Malonate,Methionine,NAD+,NADP+,Niacinamide,O-Acetylcarnitine,O-Phosphocholine,Ornithine,Oxypurinol,Phenylalanine,Pyruvate,Sarcosine,Succinate,Taurine,Trimethylamine,Tryptophan,Tyrosine,UDP-N-Acetylglucosamine,UDP-galactose,UDP-glucose,UMP,Uracil,Urea,Uridine,Valine,Xanthosine
1--3,Group_A,0.000193056,0.0000375,2.92E-05,0.000275,0.001168056,0.0002875,0.001023611,0.004472222,0.000190278,1.94E-05,0.002727778,5.14E-05,0.000636111,0.000354167,0.000238889,0.0017875,0.000316667,5.56E-05,0.000129167,0.036425,0.000572222,0.000577778,0.0023375,0.000536111,0.001540278,0.000243056,0.000679167,0.000816667,0.000191667,0.026294444,0.000393056,0.000229167,0.000288889,0.000116667,8.61E-05,0.000075,4.86E-05,0.000822222,3.33E-05,0.002016667,6.94E-05,0.002204167,9.31E-05,0.000147222,9.86E-05,3.19E-05,0.013091667,1.39E-05,0.00005,0.000158333,0.000198611,0.000104167,0.0001375,0.0002625,2.78E-05,0.009566667,0.0004875,0.000340278,1.11E-05
1--4,Group_A,0.00029186,3.72E-05,2.44E-05,0.000196512,0.00115814,0.000226744,0.001416279,0.00422907,0.000295349,0.000101163,0.002265116,7.67E-05,0.000510465,0.00015,0.000272093,0.000326744,0.00022907,4.65E-05,0.000123256,0.029748837,0.000498837,0.000656977,0.002256977,0.000369767,0.001386047,0.000266279,0.0002,0.000745349,0.000163953,0.019559302,0.000317442,0.00020814,0.000437209,9.77E-05,9.88E-05,9.07E-05,5.12E-05,0.000674419,3.49E-05,0.001554651,0.000110465,0.002381395,7.79E-05,1.74E-05,0.000119767,3.26E-05,0.010568605,3.37E-05,3.26E-05,0.000130233,0.000180233,0.000110465,0.000103488,0.00022093,2.21E-05,0.015888372,0.000402326,0.00030814,1.63E-05
1--5,Group_A,0.000313889,3.06E-05,2.78E-05,0.0002375,0.001276389,0.000234722,0.0009125,0.004566667,0.000261111,8.33E-06,0.002429167,7.78E-05,0.000513889,0.000516667,0.000316667,0.000538889,0.000233333,3.61E-05,9.86E-05,0.026294444,0.000651389,0.000705556,0.001720833,0.000368056,0.001594444,0.000331944,0.000373611,0.000706944,0.000186111,0.019552778,0.000393056,0.000266667,0.000255556,7.22E-05,6.81E-05,0.000106944,6.94E-05,0.000713889,5.14E-05,0.001347222,0.000122222,0.002479167,8.06E-05,0.000102778,9.17E-05,2.22E-05,0.011597222,2.08E-05,4.31E-05,0.000131944,0.000198611,0.000119444,0.000227778,0.000213889,2.92E-05,0.010754167,0.000254167,0.000351389,1.67E-05
1--6,Group_A,0.000154054,3.92E-05,2.70E-05,0.000254054,0.001131081,0.000201351,0.000604054,0.003421622,0.000262162,9.46E-06,0.00087973,3.11E-05,0.000374324,0.000209459,0.000243243,0.000887838,0.000172973,1.89E-05,0.000102703,0.032101351,0.000340541,0.000864865,0.001772973,0.000374324,0.001440541,0.000204054,0.000389189,0.000418919,0.000122973,0.020164865,0.000344595,0.000132432,0.000310811,4.73E-05,5.54E-05,0.000110811,4.86E-05,0.000495946,3.51E-05,0.001205405,0.00012027,0.001616216,6.22E-05,0.000217568,8.11E-05,2.43E-05,0.00682973,1.35E-05,2.16E-05,0.000113514,0.000174324,0.000128378,0.000187838,0.000266216,1.22E-05,0.008413514,0.000359459,0.00025,2.16E-05
1--7,Group_A,0.000219178,3.84E-05,3.01E-05,0.000258904,0.001630137,0.000242466,0.000652055,0.003335616,0.000286301,1.37E-05,0.001182192,8.36E-05,0.000369863,0.000175342,0.000472603,0.000610959,0.00020274,1.78E-05,0.00010137,0.045075342,0.000430137,0.001369863,0.002382192,0.000521918,0.001612329,0.000293151,0.000452055,0.00050137,0.000187671,0.019310959,0.000423288,0.000175342,0.000231507,6.99E-05,7.67E-05,0.000149315,7.40E-05,0.000647945,4.38E-05,0.001686301,0.000163014,0.003964384,0.00010137,9.59E-06,8.08E-05,2.88E-05,0.007569863,1.23E-05,4.52E-05,0.000182192,0.000145205,0.000163014,0.000165753,0.000379452,9.59E-06,0.009328767,0.000483562,0.000339726,2.33E-05
1--8,Group_A,0.000246809,3.51E-05,2.02E-05,0.000224468,0.001635106,0.000356383,0.000544681,0.002868085,0.000329787,5.43E-05,0.001106383,3.83E-05,0.0004,0.000335106,0.000404255,0.00036383,9.47E-05,1.06E-06,0.000126596,0.032434043,0.000518085,0.001196809,0.001667021,0.000687234,0.001978723,0.000243617,0.000284043,0.000524468,0.00016383,0.016275532,0.000454255,0.000173404,0.000492553,6.60E-05,7.87E-05,0.000155319,6.60E-05,0.000589362,3.62E-05,0.001671277,0.000218085,0.002021277,9.89E-05,0.000215957,7.45E-05,7.55E-05,0.008467021,1.17E-05,2.77E-05,0.00017234,0.000215957,0.000176596,0.000376596,0.000340426,1.49E-05,0.011887234,0.000358511,0.000364894,1.38E-05
1--9,Group_A,0.000303896,4.16E-05,3.25E-05,0.000292208,0.00152987,0.000128571,0.000750649,0.002662338,0.000314286,1.04E-05,0.001167532,4.81E-05,0.000397403,0.000281818,0.000492208,0.000425974,0.000172727,1.30E-06,0.000107792,0.036375325,0.000366234,0.001231169,0.002006494,0.000507792,0.001703896,0.000215584,0.00034026,0.000583117,0.000172727,0.018942857,0.000457143,0.000164935,0.000306494,7.79E-05,8.83E-05,0.000162338,6.62E-05,0.000503896,4.29E-05,0.001823377,0.000105195,0.003377922,8.18E-05,0.000248052,7.40E-05,2.47E-05,0.009268831,2.34E-05,2.73E-05,0.000146753,0.000233766,0.000167532,0.000333766,0.000423377,1.56E-05,0.00948961,0.000380519,0.000319481,1.69E-05
1--10,Group_A,0.000255405,3.38E-05,2.57E-05,0.000221622,0.001633784,0.000391892,0.000591892,0.004401351,0.000381081,1.35E-05,0.000972973,1.89E-05,0.000381081,0.000132432,0.00042973,0.000283784,7.16E-05,1.35E-06,0.000167568,0.037351351,0.000601351,0.002293243,0.002736486,0.000259459,0.002413514,0.000402703,0.000251351,0.000416216,0.00022027,0.01905,0.000375676,0.000283784,0.000306757,7.84E-05,7.57E-05,0.000232432,7.30E-05,0.000493243,3.65E-05,0.001998649,0.000224324,0.003825676,9.59E-05,0.000297297,0.000116216,6.76E-05,0.010683784,1.35E-05,3.24E-05,0.000178378,0.000236486,0.00017973,0.000367568,0.000444595,1.08E-05,0.011182432,0.000335135,0.000439189,1.62E-05
1--11,Group_A,0.000287187,4.71E-05,4.71E-05,0.000393225,0.001188513,0.000156112,0.00044919,0.003298969,0.000231222,0.000108984,0.001067747,4.57E-05,0.000521355,0.000194404,0.000166421,0.000434462,0.00012813,0.000136966,9.43E-05,0.031269514,0.00067894,0.001297496,0.002724595,0.000357879,0.001237113,0.000369661,0.000241532,0.0005081,0.00020324,0.012447717,0.000372607,0.000234168,0.000618557,0.000410898,5.74E-05,0.000458027,0.000122239,0.000340206,0.000110457,0.001587629,0.000104566,0.001804124,9.87E-05,4.86E-05,7.07E-05,0.00060972,0.009159057,8.84E-06,4.86E-05,0.000129602,0.000157585,6.63E-05,0.000170839,0.000260677,2.95E-05,0.006013255,0.00033137,0.000353461,1.77E-05
1--12,Group_A,0.000226054,1.40E-05,5.11E-06,0.000283525,0.001030651,0.000108557,0.000167305,0.003077905,0.000229885,8.05E-05,0.001268199,1.92E-05,0.000376756,0.000324393,0.000111111,0.000302682,0.000108557,2.43E-05,6.13E-05,0.026916986,0.000578544,0.001215837,0.002422733,0.000255428,0.001265645,0.000375479,0.000154534,0.000284802,0.000189017,0.011404853,0.000335888,0.000247765,0.000417625,0.00011622,3.45E-05,0.000475096,0.000113665,0.000173691,0.000146871,0.001218391,4.60E-05,0.001933589,0.000114943,5.24E-05,5.62E-05,0.000623244,0.010639847,7.66E-06,3.32E-05,0.000112388,0.000186462,5.75E-05,0.000148148,0.000206897,7.66E-06,0.004547893,0.000190294,0.000342273,1.53E-05
1--13,Group_A,0.000204456,1.18E-05,2.62E-06,0.000211009,0.001057667,0.000115334,0.000171691,0.003158585,0.000180865,7.08E-05,0.001301442,1.70E-05,0.000294889,0.000137615,0.000100917,0.000201835,0.000132372,2.49E-05,5.50E-05,0.026132372,0.000554391,0.001183486,0.002360419,0.000325033,0.001179554,0.000328965,9.44E-05,0.000269987,0.000145478,0.009597641,0.000259502,0.00019135,0.000251638,0.000102228,4.19E-05,0.000433814,9.70E-05,0.000158585,0.000131062,0.001087811,0.000140236,0.00144692,8.78E-05,3.01E-05,6.95E-05,0.000917431,0.010423329,1.05E-05,2.62E-05,0.00010616,0.000119266,5.77E-05,0.000144168,0.000144168,1.18E-05,0.004973788,0.000209699,0.000259502,9.17E-06
1--14,Group_A,0.000478912,3.67E-05,6.80E-06,0.000458503,0.001453061,9.52E-05,0.000587755,0.004155102,0.000263946,0.000129252,0.001647619,3.27E-05,0.000284354,0.000752381,0.000376871,0.000261224,0.000157823,4.08E-05,3.67E-05,0.034058503,0.00055102,0.00112517,0.003204082,0.000393197,0.001941497,0.000390476,0.000227211,0.000395918,0.000160544,0.015122449,0.000473469,0.000204082,0.000357823,0.000155102,5.99E-05,0.000712925,0.00017415,0.000214966,0.000144218,0.001514286,0.000129252,0.002378231,0.000104762,4.49E-05,5.85E-05,0.001034014,0.009718367,6.80E-06,4.90E-05,0.000129252,0.00024898,0.000115646,0.000472109,0.00035102,3.81E-05,0.009091156,0.000217687,0.000311565,1.36E-05
1--15,Group_A,0.000313669,3.60E-05,1.44E-06,0.000385612,0.001667626,0.000117986,0.000486331,0.004110791,0.000188489,0.000138129,0.001020144,3.45E-05,0.000300719,0.000353957,0.000258993,0.000305036,0.000189928,4.46E-05,3.88E-05,0.036018705,0.000411511,0.000935252,0.002761151,0.000385612,0.001538129,0.000313669,0.000185612,0.000407194,0.000155396,0.015473381,0.000348201,0.000166906,0.00034964,7.19E-05,6.47E-05,0.000644604,0.00014964,0.000258993,9.21E-05,0.001214388,0.000107914,0.001374101,9.64E-05,4.60E-05,8.63E-05,0.000917986,0.004923741,7.19E-06,5.18E-05,0.00012518,0.000240288,9.50E-05,0.000280576,0.000372662,4.03E-05,0.007294964,0.000316547,0.000248921,1.58E-05
1--16,Group_A,0.000280593,3.46E-05,1.24E-06,0.000289246,0.001358467,0.000106304,0.000478368,0.00353152,0.000161928,0.000118665,0.001457355,3.09E-05,0.000258344,0.000145859,0.000241038,0.000273177,0.000138443,3.83E-05,4.33E-05,0.03892089,0.000527812,0.000970334,0.002540173,0.000567367,0.001469716,0.00028801,0.000173053,0.000407911,0.000112485,0.015332509,0.000299135,0.000132262,0.000375773,0.00012979,4.70E-05,0.000609394,0.000128554,0.000222497,7.42E-05,0.00112979,0.000123609,0.002737948,8.28E-05,4.94E-05,7.42E-05,0.001039555,0.006877627,6.18E-06,3.21E-05,0.00010754,0.000211372,8.16E-05,0.000241038,0.000320148,2.72E-05,0.007448702,0.000333745,0.000213844,3.21E-05
5--1,Group_B,0.000296296,4.37E-05,3.97E-06,0.000404762,0.001096561,0.000199735,0.001298942,0.003498677,0.000179894,0.00023545,0.00090873,2.65E-05,0.000425926,0.000384921,0.000149471,0.000251323,0.00026455,9.39E-05,2.51E-05,0.019433862,0.000519841,0.001002646,0.002011905,0.000502646,0.00126455,0.000239418,0.000146825,0.000376984,0.000126984,0.01632672,0.000202381,0.000132275,0.000219577,5.95E-05,2.91E-05,0.000481481,0.00012037,0.000321429,0.00017328,0.001425926,7.01E-05,0.001218254,8.86E-05,2.51E-05,3.97E-05,0.000547619,0.008818783,7.94E-06,3.57E-05,8.20E-05,0.000148148,0.000140212,0.000342593,0.000238095,1.98E-05,0.007189153,0.000248677,0.000187831,1.32E-05
5--2,Group_B,0.000531695,4.01E-05,7.76E-06,0.000507115,0.001783959,0.000241915,0.001460543,0.004688228,0.000282018,0.000188875,0.002350582,4.27E-05,0.000545925,0.000827943,0.000232859,0.000355757,0.000244502,0.00012031,2.07E-05,0.031280724,0.000711514,0.000905563,0.00292238,0.000880983,0.001452781,0.000282018,9.70E-05,0.000627426,0.000111255,0.02057956,0.000214748,0.000181113,0.000404916,8.80E-05,4.40E-05,0.000721863,0.000164295,0.000451488,0.000248383,0.002653299,0.000139715,0.002712807,8.93E-05,3.62E-05,6.21E-05,0.001386805,0.0104489,7.76E-06,3.49E-05,7.76E-05,0.000199224,0.000121604,0.000408797,0.000353169,1.68E-05,0.012517464,0.000408797,0.00025097,1.03E-05
5--3,Group_B,0.000244083,8.88E-06,1.48E-06,0.00039645,0.000835799,7.84E-05,0.000815089,0.001223373,6.21E-05,0.000309172,0.000576923,1.04E-05,0.000178994,0.000158284,7.10E-05,0.00016568,3.40E-05,0.000868343,3.25E-05,0.017689349,0.000273669,0.000420118,0.000448225,0.000319527,0.000531065,0.000113905,6.07E-05,0.000127219,4.59E-05,0.008565089,9.91E-05,0.000115385,0.000170118,0.000134615,2.96E-05,0.000390533,9.02E-05,0.000133136,0.000119822,0.001047337,6.66E-05,0.001192308,2.81E-05,6.36E-05,1.78E-05,0.000551775,0.006482249,2.96E-06,1.04E-05,2.07E-05,9.17E-05,9.02E-05,0.000137574,0.000153846,2.96E-06,0.004946746,0.000147929,9.62E-05,1.33E-05
5--4,Group_B,0.000316597,2.79E-05,5.58E-06,0.0003947,0.001249651,8.37E-05,0.00104463,0.003100418,0.000188285,0.000311018,0.000845188,3.91E-05,0.000401674,0.000126918,0.000129707,0.000308229,0.000308229,0.000129707,2.09E-05,0.019580195,0.000521618,0.000934449,0.001680614,0.000531381,0.001179916,0.000218968,8.09E-05,0.000274756,9.76E-05,0.014750349,0.000174338,0.000124128,0.000329149,5.16E-05,3.21E-05,0.000655509,0.000153417,0.000242678,0.000195258,0.001715481,8.65E-05,0.002351464,7.53E-05,2.93E-05,3.07E-05,0.000672245,0.007101813,8.37E-06,3.35E-05,6.97E-05,0.00016318,0.000114365,0.00025802,0.000260809,1.12E-05,0.006944212,0.000262204,0.000164575,8.37E-06
5--5,Group_B,0.000298561,2.52E-05,3.60E-06,0.000356115,0.001308153,0.000142686,0.001257794,0.003701439,0.000236211,0.00018705,0.001863309,3.00E-05,0.000553957,0.000931655,0.000206235,0.000423261,0.00021223,6.35E-05,3.24E-05,0.028839329,0.000706235,0.000911271,0.002311751,0.000736211,0.001616307,0.00022542,0.000161871,0.000585132,9.83E-05,0.020898082,0.000193046,0.000125899,0.000586331,6.47E-05,5.28E-05,0.000701439,0.000147482,0.000398082,0.000196643,0.002405276,0.000109113,0.002459233,7.43E-05,3.60E-05,7.31E-05,0.00151199,0.009406475,7.19E-06,4.68E-05,8.75E-05,0.000193046,0.000105516,0.000213429,0.00035012,1.68E-05,0.00897482,0.000438849,0.000151079,2.52E-05
5--6,Group_B,0.000249052,2.15E-05,5.06E-06,0.000493047,0.001372946,9.36E-05,0.001489254,0.003475348,0.000288243,0.000217446,0.00105689,3.16E-05,0.000402023,0.000115044,0.000271808,0.000249052,0.000212389,6.45E-05,5.31E-05,0.020903919,0.000830594,0.001154235,0.002102402,0.000451327,0.001785082,0.0002933,0.000102402,0.000228824,0.000111252,0.013844501,0.000214918,0.000166877,0.000835651,5.56E-05,6.57E-05,0.000756005,0.000145386,0.000283186,0.000184576,0.00134134,0.000108723,0.002883692,8.47E-05,4.17E-05,7.46E-05,0.00110493,0.006795196,2.53E-06,2.53E-05,7.59E-05,0.000173198,0.000140329,0.000351454,0.000461441,1.14E-05,0.013013906,0.000231353,0.000199747,8.85E-06
5--7,Group_B,0.000418663,4.16E-05,8.83E-06,0.000437579,0.00165826,9.84E-05,0.001721311,0.00492686,0.000287516,0.000176545,0.001278689,3.78E-05,0.000340479,0.000286255,0.000351828,0.000476671,0.00017024,6.56E-05,4.04E-05,0.022566204,0.000953342,0.001240858,0.002679697,0.000906683,0.00193947,0.000326608,0.000121059,0.000228247,0.000148802,0.017007566,0.000326608,0.000213115,0.000672131,6.43E-05,7.19E-05,0.00074401,0.000136192,0.000282472,0.000126103,0.001547289,0.000216898,0.003791929,8.45E-05,4.04E-05,0.00014628,0.001306431,0.006978562,1.13E-05,2.52E-05,7.57E-05,0.000210593,0.000174023,0.000300126,0.000489281,1.26E-05,0.015636822,0.000261034,0.000317781,8.83E-06
5--8,Group_B,0.000365753,4.52E-05,1.23E-05,0.000609589,0.00180137,0.0001,0.001813699,0.005352055,0.000312329,0.000223288,0.001212329,3.42E-05,0.000317808,0.000110959,0.000263014,0.000453425,0.000254795,8.63E-05,5.07E-05,0.0237,0.000828767,0.001379452,0.002642466,0.000510959,0.001856164,0.000430137,0.000131507,0.000250685,0.000138356,0.019260274,0.000236986,0.000194521,0.000936986,4.93E-05,7.53E-05,0.000769863,0.000175342,0.000306849,0.000178082,0.001790411,0.00019863,0.003771233,9.18E-05,2.60E-05,0.000163014,0.001093151,0.008553425,6.85E-06,4.11E-05,0.00010411,0.000230137,0.00019589,0.000508219,0.000483562,1.23E-05,0.013873973,0.000190411,0.000249315,5.48E-06
5--9,Group_B,0.000335357,4.10E-05,1.21E-05,0.000534143,0.002119879,0.000127466,0.0013217,0.005992413,0.000286798,0.000230653,0.001204856,4.55E-05,0.000370258,0.000115326,0.000298938,0.000588771,0.000353566,0.000118361,8.95E-05,0.02968437,0.00093475,0.002496206,0.00300607,0.00075569,0.002250379,0.000424886,0.000218513,0.000242792,0.000179059,0.021062215,0.000282246,0.000261002,0.000775417,7.13E-05,7.44E-05,0.000817906,0.000186646,0.000314112,0.000171472,0.001921093,0.000192716,0.005047041,0.000121396,6.07E-05,0.000163885,0.001050076,0.010584219,4.55E-06,3.49E-05,0.000122914,0.000235205,0.000118361,0.000490137,0.000610015,1.21E-05,0.012007587,0.000262519,0.000326252,1.52E-05
5--10,Group_B,0.000332461,4.06E-05,7.85E-06,0.000456806,0.00183377,0.000129581,0.001496073,0.005158377,0.000339005,0.000232984,0.001204188,5.10E-05,0.000281414,6.81E-05,0.000299738,0.000291885,0.000147906,7.98E-05,4.84E-05,0.021801047,0.000778796,0.001450262,0.002942408,0.00048822,0.001689791,0.000374346,0.000125654,0.000256545,0.000132199,0.017435864,0.000336387,0.000247382,0.000959424,5.37E-05,0.000244764,0.000647906,0.000137435,0.00034555,0.000157068,0.001616492,0.000235602,0.003689791,8.77E-05,2.49E-05,0.000204188,0.000795812,0.007856021,9.16E-06,4.45E-05,0.000113874,0.000209424,0.000179319,0.000388743,0.000465969,1.05E-05,0.013615183,0.000204188,0.000289267,5.24E-06